team,player,result,x,y
Colorado Avalanche,Darren Helm,SHOT,48.0,-3.0
Colorado Avalanche,Logan O'Connor,SHOT,82.0,-7.0
Colorado Avalanche,Erik Johnson,SHOT,35.0,-34.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,64.0,8.0
Colorado Avalanche,Mikko Rantanen,SHOT,65.0,14.0
Colorado Avalanche,Cale Makar,SHOT,49.0,-18.0
Colorado Avalanche,J.T. Compher,SHOT,83.0,0.0
Colorado Avalanche,Andre Burakovsky,GOAL,72.0,-19.0
Colorado Avalanche,Jayson Megna,SHOT,79.0,-21.0
Colorado Avalanche,Darren Helm,MISSED_SHOT,69.0,-18.0
Colorado Avalanche,Andre Burakovsky,MISSED_SHOT,64.0,-14.0
Colorado Avalanche,Sampo Ranta,SHOT,87.0,-7.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,85.0,-16.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,56.0,-2.0
Colorado Avalanche,Andre Burakovsky,SHOT,52.0,27.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,77.0,-1.0
Colorado Avalanche,Cale Makar,SHOT,33.0,-1.0
Colorado Avalanche,Andre Burakovsky,SHOT,67.0,13.0
Colorado Avalanche,Mikko Rantanen,SHOT,60.0,-26.0
Colorado Avalanche,Mikko Rantanen,SHOT,61.0,-21.0
Colorado Avalanche,Logan O'Connor,SHOT,37.0,-0.0
Colorado Avalanche,Jayson Megna,SHOT,65.0,1.0
Colorado Avalanche,Logan O'Connor,SHOT,56.0,21.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,66.0,4.0
Colorado Avalanche,Nazem Kadri,BLOCKED_SHOT,67.0,-13.0
Colorado Avalanche,Cale Makar,SHOT,61.0,27.0
Colorado Avalanche,Logan O'Connor,SHOT,77.0,1.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,66.0,-20.0
Colorado Avalanche,Tyson Jost,GOAL,76.0,-0.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,47.0,10.0
Colorado Avalanche,J.T. Compher,GOAL,80.0,5.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,35.0,-18.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,75.0,-14.0
Colorado Avalanche,Nathan MacKinnon,SHOT,35.0,21.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,47.0,19.0
Colorado Avalanche,Darren Helm,SHOT,81.0,27.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,77.0,-7.0
Colorado Avalanche,Tyson Jost,BLOCKED_SHOT,71.0,-0.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,72.0,17.0
Colorado Avalanche,Ryan Murray,SHOT,40.0,24.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,55.0,-27.0
Colorado Avalanche,J.T. Compher,GOAL,75.0,-3.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,69.0,-16.0
Colorado Avalanche,Sampo Ranta,SHOT,69.0,35.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,82.0,-5.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,64.0,12.0
Colorado Avalanche,Nathan MacKinnon,SHOT,74.0,-12.0
Colorado Avalanche,Tyson Jost,BLOCKED_SHOT,73.0,0.0
Colorado Avalanche,Darren Helm,GOAL,73.0,3.0
Colorado Avalanche,Cale Makar,BLOCKED_SHOT,71.0,12.0
Colorado Avalanche,Nazem Kadri,SHOT,83.0,-14.0
Colorado Avalanche,Tyson Jost,SHOT,79.0,-3.0
Colorado Avalanche,Samuel Girard,SHOT,34.0,-0.0
Colorado Avalanche,Mikhail Maltsev,SHOT,81.0,5.0
Colorado Avalanche,Darren Helm,BLOCKED_SHOT,62.0,-16.0
Colorado Avalanche,Tyson Jost,SHOT,82.0,8.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,68.0,-5.0
Colorado Avalanche,Bowen Byram,BLOCKED_SHOT,63.0,17.0
Colorado Avalanche,Logan O'Connor,SHOT,76.0,1.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,87.0,-6.0
Colorado Avalanche,Martin Kaut,BLOCKED_SHOT,59.0,16.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,76.0,-3.0
Colorado Avalanche,Erik Johnson,SHOT,80.0,29.0
Colorado Avalanche,Erik Johnson,SHOT,83.0,-11.0
Colorado Avalanche,Martin Kaut,MISSED_SHOT,72.0,-3.0
Colorado Avalanche,J.T. Compher,SHOT,48.0,-21.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,81.0,-21.0
Colorado Avalanche,Mikhail Maltsev,BLOCKED_SHOT,49.0,-10.0
Colorado Avalanche,Cale Makar,SHOT,45.0,-21.0
Colorado Avalanche,Mikko Rantanen,SHOT,37.0,-27.0
Colorado Avalanche,Logan O'Connor,SHOT,59.0,-17.0
Colorado Avalanche,Cale Makar,SHOT,65.0,-31.0
Colorado Avalanche,Mikko Rantanen,SHOT,77.0,15.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,51.0,-0.0
Colorado Avalanche,Jack Johnson,BLOCKED_SHOT,73.0,-15.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,38.0,-1.0
Colorado Avalanche,Nazem Kadri,SHOT,85.0,-10.0
Colorado Avalanche,Nazem Kadri,SHOT,86.0,-9.0
Colorado Avalanche,Cale Makar,SHOT,53.0,1.0
Colorado Avalanche,Nathan MacKinnon,SHOT,41.0,6.0
Colorado Avalanche,Mikko Rantanen,GOAL,72.0,-18.0
Colorado Avalanche,Sampo Ranta,SHOT,59.0,-3.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,74.0,-7.0
Colorado Avalanche,Andre Burakovsky,SHOT,65.0,-16.0
Colorado Avalanche,Jack Johnson,SHOT,59.0,30.0
Colorado Avalanche,Logan O'Connor,SHOT,75.0,8.0
Colorado Avalanche,Cale Makar,SHOT,36.0,-28.0
Colorado Avalanche,Jack Johnson,SHOT,35.0,31.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,75.0,-13.0
Colorado Avalanche,J.T. Compher,SHOT,76.0,2.0
Colorado Avalanche,Sampo Ranta,SHOT,95.0,9.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,47.0,21.0
Colorado Avalanche,Tyson Jost,SHOT,72.0,-13.0
Colorado Avalanche,Logan O'Connor,SHOT,53.0,17.0
Colorado Avalanche,Darren Helm,SHOT,84.0,-12.0
Colorado Avalanche,Mikko Rantanen,GOAL,72.0,6.0
Colorado Avalanche,Darren Helm,MISSED_SHOT,12.0,33.0
Colorado Avalanche,Andre Burakovsky,SHOT,63.0,-17.0
Colorado Avalanche,Cale Makar,SHOT,45.0,-27.0
Colorado Avalanche,Tyson Jost,SHOT,29.0,-36.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,68.0,3.0
Colorado Avalanche,Andre Burakovsky,SHOT,61.0,-20.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,46.0,-19.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,69.0,8.0
Colorado Avalanche,Gabriel Landeskog,BLOCKED_SHOT,55.0,15.0
Colorado Avalanche,Mikhail Maltsev,MISSED_SHOT,60.0,-19.0
Colorado Avalanche,Nazem Kadri,SHOT,45.0,-31.0
Colorado Avalanche,Nazem Kadri,SHOT,55.0,19.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,62.0,5.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,61.0,-17.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,67.0,3.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,75.0,19.0
Colorado Avalanche,Tyson Jost,SHOT,73.0,-19.0
Colorado Avalanche,Logan O'Connor,BLOCKED_SHOT,62.0,19.0
Colorado Avalanche,Mikko Rantanen,SHOT,64.0,-15.0
Colorado Avalanche,Gabriel Landeskog,SHOT,64.0,-15.0
Colorado Avalanche,Gabriel Landeskog,SHOT,71.0,1.0
Colorado Avalanche,Sampo Ranta,BLOCKED_SHOT,73.0,12.0
Colorado Avalanche,Bowen Byram,BLOCKED_SHOT,65.0,8.0
Colorado Avalanche,Logan O'Connor,SHOT,84.0,7.0
Colorado Avalanche,Mikhail Maltsev,SHOT,55.0,-23.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,76.0,14.0
Colorado Avalanche,Mikhail Maltsev,SHOT,70.0,-14.0
Colorado Avalanche,J.T. Compher,SHOT,48.0,-1.0
Colorado Avalanche,Ryan Murray,SHOT,48.0,-24.0
Colorado Avalanche,Samuel Girard,SHOT,37.0,-2.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,77.0,-6.0
Colorado Avalanche,J.T. Compher,SHOT,33.0,-5.0
Colorado Avalanche,Nazem Kadri,SHOT,68.0,15.0
Colorado Avalanche,Mikko Rantanen,BLOCKED_SHOT,49.0,22.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,57.0,-19.0
Colorado Avalanche,Darren Helm,SHOT,60.0,11.0
Colorado Avalanche,Gabriel Landeskog,BLOCKED_SHOT,67.0,-9.0
Colorado Avalanche,Samuel Girard,BLOCKED_SHOT,70.0,-12.0
Colorado Avalanche,J.T. Compher,SHOT,75.0,8.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,61.0,16.0
Colorado Avalanche,Ryan Murray,BLOCKED_SHOT,70.0,15.0
Colorado Avalanche,Mikko Rantanen,SHOT,57.0,-17.0
Colorado Avalanche,Cale Makar,MISSED_SHOT,41.0,-24.0
Colorado Avalanche,Logan O'Connor,MISSED_SHOT,53.0,-16.0
Colorado Avalanche,Darren Helm,SHOT,74.0,-3.0
Colorado Avalanche,Jayson Megna,SHOT,81.0,1.0
Colorado Avalanche,Gabriel Landeskog,GOAL,80.0,-1.0
Colorado Avalanche,Sampo Ranta,MISSED_SHOT,49.0,-20.0
Colorado Avalanche,Mikhail Maltsev,SHOT,62.0,-21.0
Colorado Avalanche,Bowen Byram,BLOCKED_SHOT,78.0,-7.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,80.0,0.0
Colorado Avalanche,Darren Helm,SHOT,80.0,4.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,35.0,31.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,84.0,-23.0
Colorado Avalanche,Nathan MacKinnon,SHOT,70.0,17.0
Colorado Avalanche,Mikko Rantanen,MISSED_SHOT,83.0,-14.0
Colorado Avalanche,Sampo Ranta,SHOT,53.0,18.0
Colorado Avalanche,Jayson Megna,BLOCKED_SHOT,82.0,-5.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,53.0,-23.0
Colorado Avalanche,Nazem Kadri,SHOT,83.0,0.0
Colorado Avalanche,Mikko Rantanen,SHOT,60.0,-17.0
Colorado Avalanche,Nazem Kadri,MISSED_SHOT,78.0,-17.0
Colorado Avalanche,Erik Johnson,SHOT,58.0,-9.0
Colorado Avalanche,Bowen Byram,MISSED_SHOT,48.0,-10.0
Colorado Avalanche,Mikko Rantanen,GOAL,76.0,-18.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,78.0,3.0
Colorado Avalanche,Mikko Rantanen,SHOT,66.0,-22.0
Colorado Avalanche,Nathan MacKinnon,MISSED_SHOT,64.0,29.0
Colorado Avalanche,Erik Johnson,SHOT,69.0,12.0
Colorado Avalanche,Darren Helm,SHOT,66.0,21.0
Colorado Avalanche,Nazem Kadri,SHOT,81.0,1.0
Colorado Avalanche,Nazem Kadri,SHOT,7.0,19.0
Colorado Avalanche,J.T. Compher,MISSED_SHOT,72.0,-21.0
Colorado Avalanche,Nathan MacKinnon,SHOT,56.0,9.0
Colorado Avalanche,Gabriel Landeskog,BLOCKED_SHOT,61.0,-5.0
Colorado Avalanche,Erik Johnson,BLOCKED_SHOT,69.0,0.0
Colorado Avalanche,Nathan MacKinnon,GOAL,51.0,29.0
Colorado Avalanche,Darren Helm,SHOT,71.0,18.0
Colorado Avalanche,Nazem Kadri,SHOT,64.0,-24.0
Colorado Avalanche,Cale Makar,SHOT,49.0,-26.0
Colorado Avalanche,Mikko Rantanen,SHOT,78.0,-1.0
Colorado Avalanche,Mikko Rantanen,SHOT,81.0,5.0
Colorado Avalanche,Gabriel Landeskog,SHOT,73.0,1.0
Colorado Avalanche,J.T. Compher,BLOCKED_SHOT,55.0,-5.0
Colorado Avalanche,Nathan MacKinnon,BLOCKED_SHOT,74.0,-0.0
Colorado Avalanche,Gabriel Landeskog,SHOT,69.0,2.0
Colorado Avalanche,Gabriel Landeskog,SHOT,72.0,17.0
Colorado Avalanche,Nathan MacKinnon,SHOT,75.0,-1.0
Colorado Avalanche,Mikko Rantanen,GOAL,77.0,-2.0
